Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
FLORIDA HOSPITAL CARROLLWOOD,TAMPA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,VENICE,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BAYFRONT HEALTH BROOKSVILLE,BROOKSVILLE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
FLORIDA HOSPITAL FISH MEMORIAL,ORANGE CITY,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
HOLY CROSS HOSPITAL,FORT LAUDERDALE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
ST JOSEPHS HOSPITAL,TAMPA,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
BAYFRONT HEALTH PORT CHARLOTTE,PORT CHARLOTTE,Acute Care Hospitals,Proprietary,Yes,2,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available
JFK MEDICAL CENTER,ATLANTIS,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
HEALTHMARK REGIONAL MEDICAL CENTER,DEFUNIAK SPRINGS,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Below the national average,Above the national average,Not Available
LEESBURG REGIONAL MEDICAL CENTER,LEESBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BROWARD HEALTH NORTH,POMPANO BEACH,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
SARASOTA MEMORIAL HOSPITAL,SARASOTA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
BAPTIST MEDICAL CENTER JACKSONVILLE,JACKSONVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
FLAGLER HOSPITAL,SAINT AUGUSTINE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
WUESTHOFF MEDICAL CENTER-ROCKLEDGE,ROCKLEDGE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
BAPTIST HOSPITAL,PENSACOLA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
LAKE WALES MEDICAL CENTER,LAKE WALES,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,LAKE CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available
INDIAN RIVER MEDICAL CENTER,VERO BEACH,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
DOCTOR'S MEMORIAL HOSPITAL INC,PERRY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Not Available
LEHIGH REGIONAL MEDICAL CENTER,LEHIGH ACRES,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,SEBRING,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
OSCEOLA REGIONAL MEDICAL CENTER,KISSIMMEE,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
UF HEALTH SHANDS HOSPITAL,GAINESVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BAPTIST MEDICAL CENTER - BEACHES,JACKSONVILLE BEACH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
FLORIDA HOSPITAL FLAGLER,PALM COAST,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
BARTOW REGIONAL MEDICAL CENTER,BARTOW,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Not Available
NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
SANTA ROSA MEDICAL CENTER,MILTON,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
HOMESTEAD HOSPITAL,HOMESTEAD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
PALMS OF PASADENA HOSPITAL,SAINT PETERSBURG,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
MORTON PLANT HOSPITAL,CLEARWATER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
TAMPA GENERAL HOSPITAL,TAMPA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
LAKESIDE MEDICAL CENTER,BELLE GLADE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Not Available
AVENTURA HOSPITAL AND MEDICAL CENTER,AVENTURA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
SOUTH FLORIDA BAPTIST HOSPITAL,PLANT CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
ED FRASER MEMORIAL HOSPITAL,MACCLENNY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
TALLAHASSEE MEMORIAL HOSPITAL,TALLAHASSEE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BAPTIST MEDICAL CENTER - NASSAU,FERNANDINA BEACH,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
JACKSON HOSPITAL,MARIANNA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average
LOWER KEYS MEDICAL CENTER,KEY WEST,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
MAYO CLINIC,JACKSONVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
SOUTH MIAMI HOSPITAL,SOUTH MIAMI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
LAKE CITY MEDICAL CENTER,LAKE CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
LAKELAND REGIONAL MEDICAL CENTER,LAKELAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average
CENTRAL FLORIDA REGIONAL HOSPITAL,SANFORD,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
DOCTORS HOSPITAL OF SARASOTA,SARASOTA,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
PLANTATION GENERAL HOSPITAL,PLANTATION,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
BOCA RATON REGIONAL HOSPITAL,BOCA RATON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average
FLORIDA HOSPITAL TAMPA,TAMPA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
DESOTO MEMORIAL HOSPITAL,ARCADIA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
PALM BEACH GARDENS MEDICAL CENTER,PALM BEACH GARDENS,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
CAPE CANAVERAL HOSPITAL,COCOA BEACH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
MEMORIAL HOSPITAL JACKSONVILLE,JACKSONVILLE,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
ST PETERSBURG GENERAL HOSPITAL,SAINT PETERSBURG,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available
LARKIN COMMUNITY HOSPITAL,SOUTH MIAMI,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
CORAL GABLES HOSPITAL,CORAL GABLES,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
PALMETTO GENERAL HOSPITAL,HIALEAH,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Not Available
NORTHWEST MEDICAL CENTER,MARGATE,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available
MEDICAL CENTER OF TRINITY,TRINITY,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BROWARD HEALTH IMPERIAL POINT,FORT LAUDERDALE,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
NORTH FLORIDA REGIONAL MEDICAL CENTER,GAINESVILLE,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
MEMORIAL HOSPITAL OF TAMPA,TAMPA,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
KENDALL REGIONAL MEDICAL CENTER,MIAMI,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BAYFRONT HEALTH DADE CITY,DADE CITY,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Not Available
OCALA REGIONAL MEDICAL CENTER,OCALA,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average
BLAKE MEDICAL CENTER,BRADENTON,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
SEBASTIAN RIVER MEDICAL CENTER,SEBASTIAN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average
GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,FORT MYERS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
FORT WALTON BEACH MEDICAL CENTER,FORT WALTON BEACH,Acute Care Hospitals,Proprietary,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
UNIVERSITY HOSPITAL AND MEDICAL CENTER,TAMARAC,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available
ORANGE PARK MEDICAL CENTER,ORANGE PARK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
WESTSIDE REGIONAL MEDICAL CENTER,PLANTATION,Acute Care Hospitals,Proprietary,No,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Not Available
MEMORIAL HOSPITAL PEMBROKE,PEMBROKE PINES,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
WEST FLORIDA HOSPITAL,PENSACOLA,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
PUTNAM COMMUNITY MEDICAL CENTER,PALATKA,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
FAWCETT MEMORIAL HOSPITAL,PORT CHARLOTTE,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
NORTHSIDE HOSPITAL,SAINT PETERSBURG,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
ANNE BATES LEACH EYE HOSPITAL,MIAMI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
GULF COAST REGIONAL MEDICAL CENTER,PANAMA CITY,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BRANDON REGIONAL HOSPITAL,BRANDON,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average
CAPE CORAL HOSPITAL,CAPE CORAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,FORT PIERCE,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
LARGO MEDICAL CENTER,LARGO,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
SEVEN RIVERS REGIONAL MEDICAL CENTER,CRYSTAL RIVER,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
RAULERSON HOSPITAL,OKEECHOBEE,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
JUPITER MEDICAL CENTER,JUPITER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
CAPITAL REGIONAL MEDICAL CENTER,TALLAHASSEE,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
TAMPA COMMUNITY HOSPITAL,TAMPA,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
REGIONAL MEDICAL CENTER BAYONET POINT,HUDSON,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
DELRAY MEDICAL CENTER,DELRAY BEACH,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
SOUTH BAY HOSPITAL,SUN CITY CENTER,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
ST LUCIE MEDICAL CENTER,PORT SAINT LUCIE,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
OAK HILL HOSPITAL,BROOKSVILLE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
MEASE COUNTRYSIDE HOSPITAL,SAFETY HARBOR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Below the national average
GULF BREEZE HOSPITAL,GULF BREEZE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ENGLEWOOD COMMUNITY HOSPITAL,ENGLEWOOD,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
WEST BOCA MEDICAL CENTER,BOCA RATON,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available
PALMS WEST HOSPITAL,LOXAHATCHEE,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
WELLINGTON REGIONAL MEDICAL CENTER LLC,WELLINGTON,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BROWARD HEALTH CORAL SPRINGS,CORAL SPRINGS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
DOUGLAS GARDENS HOSPITAL,MIAMI,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
MEMORIAL HOSPITAL WEST,PEMBROKE PINES,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
WESTCHESTER GENERAL HOSPITAL,MIAMI,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available
MEMORIAL HOSPITAL MIRAMAR,MIRAMAR,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,NAPLES,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
GOOD SAMARITAN MEDICAL CENTER,WEST PALM BEACH,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
ST MARY'S MEDICAL CENTER,WEST PALM BEACH,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available
CLEVELAND CLINIC HOSPITAL,WESTON,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average
"VILLAGES REGIONAL HOSPITAL, THE",THE VILLAGES,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average
WUESTHOFF MEDICAL CENTER-MELBOURNE,MELBOURNE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
SACRED HEART HOSPITAL ON THE EMERALD COAST,MIRAMAR BEACH,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
DOCTORS HOSPITAL,CORAL GABLES,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
FLORIDA STATE HOSPITAL UNIT 31 MED,CHATTAHOOCHEE,Acute Care Hospitals,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LAKEWOOD RANCH MEDICAL CENTER,BRADENTON,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
ST CLOUD REGIONAL MEDICAL CENTER,SAINT CLOUD,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
ST VINCENT'S MEDICAL CENTER SOUTHSIDE,JACKSONVILLE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
SACRED HEART HOSPITAL ON THE GULF,PORT SAINT JOE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
WEST KENDALL BAPTIST HOSPITAL,MIAMI,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Not Available
VIERA HOSPITAL,MELBOURNE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
PALM BAY HOSPITAL,PALM BAY,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
FLORIDA HOSPITAL WESLEY CHAPEL,WESLEY CHAPEL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
POINCIANA MEDICAL CENTER,KISSIMMEE,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average
ST VINCENTS MEDICAL CENTER - CLAY COUNTY,MIDDLEBURG,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
REGIONAL GENERAL HOSPITAL WILLISTON,WILLISTON,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Below the national average,Same as the national average,Above the national average,Not Available
LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,NAPLES,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"MIAMI MEDICAL CENTER, THE",MIAMI,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FLORIDA HOSPITAL WAUCHULA,WAUCHULA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
SHANDS LIVE OAK REGIONAL MEDICAL CENTER,LIVE OAK,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
CAMPBELLTON-GRACEVILLE HOSPITAL,GRACEVILLE,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
LAKE BUTLER HOSPITAL,LAKE BUTLER,Critical Access Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CALHOUN-LIBERTY HOSPITAL,BLOUNTSTOWN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
GEORGE E WEEMS MEMORIAL HOSPITAL,APALACHICOLA,Critical Access Hospitals,Government - Local,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DOCTORS MEMORIAL HOSPITAL,BONIFAY,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
NORTHWEST FLORIDA COMMUNITY HOSPITAL,CHIPLEY,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
